Neighborhood,Higher_Ed_Rate_Pct,Higher_Ed_Rank
Central Oakland,78.5738087304232,1
North Oakland,72.41205014152851,2
Bluff,56.58544108574953,3
Terrace Village,50.215331610680444,4
South Oakland,47.62711864406779,5
Squirrel Hill North,42.54876462938882,6
Central Business District,40.356368889959064,7
West Oakland,39.31724543849323,8
South Shore,33.33333333333333,9
Shadyside,32.041324736225086,10
West End,30.21276595744681,11
South Side Flats,29.726348709929635,12
Friendship,29.680125852123755,13
Bloomfield,19.92390176409547,14
South Side Slopes,16.838709677419356,15
Squirrel Hill South,16.219232438464875,16
Allegheny Center,15.741391426563597,17
Fairywood,15.597920277296359,18
Upper Hill,14.384288747346071,19
Point Breeze North,12.698412698412698,20
Esplen,11.974110032362459,21
Highland Park,11.621065019123272,22
East Carnegie,11.260504201680673,23
Ridgemont,11.191335740072201,24
East Liberty,10.95360824742268,25
Lincoln-Lemington-Belmar,10.79454253611557,26
Morningside,10.32258064516129,27
Stanton Heights,10.09134406263593,28
Mount Washington,9.929721151666289,29
Greenfield,9.742623979912116,30
Crawford-Roberts,9.7228332600088,31
Homewood North,9.664822648877319,32
Beechview,9.63036222029917,33
Beltzhoover,9.073958980733375,34
Arlington Heights,9.049773755656108,35
Arlington,8.700322234156822,36
Lower Lawrenceville,8.480825958702065,37
Allegheny West,8.446866485013624,38
Point Breeze,8.389894419306183,39
Northview Heights,8.389261744966444,40
Troy Hill,8.277999114652502,41
Garfield,7.985480943738657,42
Allentown,7.896825396825396,43
East Allegheny,7.797087834664161,44
Perry North,7.773109243697479,45
Duquesne Heights,7.4570590699622965,46
Fineview,7.200647249190939,47
Manchester,7.088220295767465,48
Upper Lawrenceville,7.07182320441989,49
Central Lawrenceville,6.845052893590542,50
Swisshelm Park,6.7022086824067015,51
East Hills,6.676449009537784,52
Elliott,6.576862123613313,53
Glen Hazel,6.502890173410404,54
Carrick,6.4054107817783965,55
Windgap,6.310367031551835,56
Westwood,6.2481225593271255,57
Middle Hill,5.977945443993035,58
Overbrook,5.967302452316076,59
Brookline,5.89904878797177,60
Perry South,5.720403793208932,61
Brighton Heights,5.656706045865184,62
Mount Oliver Borough,5.5572154167911565,63
Regent Square,5.550049554013875,64
Homewood South,5.44799639801891,65
California-Kirkbride,5.376344086021505,66
Knoxville,5.3452115812917596,67
Crafton Heights,5.28095733610822,68
Chartiers City,5.0,69
Hazelwood,4.9640287769784175,70
Sheraden,4.875366568914956,71
Central Northside,4.560475875743556,72
Polish Hill,4.373610081541883,73
New Homestead,4.22680412371134,74
Summer Hill,3.9929015084294592,75
Marshall-Shadeland,3.913256155225828,76
Strip District,3.871829105473965,77
Spring Hill-City View,3.2244556113902845,78
Lincoln Place,3.182481751824817,79
Banksville,3.1680083095299927,80
Oakwood,3.1372549019607843,81
Homewood West,2.663438256658596,82
Bon Air,2.1739130434782608,83
Larimer,1.8738288569643973,84
Bedford Dwellings,1.8662519440124419,85
Mt. Oliver,1.8333333333333333,86
Hays,1.5957446808510638,87
Spring Garden,0.6976744186046512,88
Chateau,0.0,89
North Shore,0.0,90
St. Clair,0.0,91
