Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Allegheny Center,1,324,103,121,72,19,19,0,10,31,36,0,10,0,10,4,7,0,10,16,18,0,10,0,10,3,4,6,9,0,10,21,32,21,30,0,10,203,61
Allegheny West,2,15,17,8,14,0,10,0,10,8,14,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,9
Allentown,3,1009.0,416.721729695,564.0,306.29071158,19.0,22.825424421,23.0,28.7228132327,78.0,94.0691235209,0.0,17.3205080757,68.0,84.7112743382,13.0,26.1533936612,0.0,17.3205080757,23.0,28.7228132327,14.0,26.1533936613,14.0,25.3179778023,20.0,24.1867732449,21.0,30.4795013082,41.0,53.8237865631,70.0,71.7216843082,86.0,74.0337760755,74.0,101.469207152,445.0,199.484335224
Arlington,4,374.0,239.167305458,90.0,74.4848977982,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,7.0,18.547236991,18.0,30.4795013083,0.0,17.3205080757,0.0,17.3205080757,8.0,17.9164728672,0.0,17.3205080757,17.0,32.2645316098,4.0,15.3622914957,0.0,17.3205080757,8.0,17.9164728672,0.0,17.3205080757,28.0,34.5976877841,0.0,17.3205080757,284.0,197.276455767
Arlington Heights,5,149,105,40,49,28,49,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,12,14,0,10,109,66
Banksville,6,240.0,131.403957322,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,240.0,131.403957322
Bedford Dwellings,7,1172,165,337,121,28,34,57,43,28,41,0,10,22,23,0,10,21,19,13,20,9,14,43,29,55,34,3,5,22,20,12,19,24,20,0,10,835,97
Beechview,8,1118.0,316.382679679,383.0,164.100578915,52.0,56.1871871515,19.0,39.6988664826,12.0,35.5105618092,30.0,43.1393092202,0.0,31.6227766016,13.0,36.6196668472,0.0,31.6227766016,0.0,31.6227766016,18.0,40.3608721412,0.0,31.6227766016,29.0,42.4264068711,20.0,43.8634243989,0.0,31.6227766016,46.0,50.68530359,92.0,62.3618473106,52.0,49.2848861214,735.0,248.642313374
Beltzhoover,9,1374.0,297.565118924,266.0,124.687609649,6.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,9.0,17.2626765016,0.0,20.0,0.0,20.0,12.0,25.7099202644,0.0,20.0,24.0,38.1575680566,0.0,20.0,34.0,41.7612260356,31.0,48.218253805,24.0,37.2692903071,120.0,73.1368580129,6.0,20.0,1108.0,233.662149267
Bloomfield,10,604.0,176.422787643,219.0,100.742245359,5.0,30.8058436014,16.0,38.4187454245,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,15.0,38.4187454245,0.0,31.6227766016,0.0,31.6227766016,17.0,41.0365690573,47.0,55.9464029227,54.0,47.9583152331,65.0,55.2086949673,385.0,120.594361394
Bluff,11,1430.0,187.624625249,281.0,80.6039701255,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,21.0,27.0739727414,243.0,74.128267213,17.0,29.5972971739,1149.0,168.243870617
Bon Air,12,14,21,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,14,21
Brighton Heights,13,1616.0,353.11471224,542.0,215.72204338,112.0,96.1717214153,29.0,35.6230262611,32.0,41.3521462563,13.0,28.0713376952,13.0,32.9241552663,5.0,26.0959767014,46.0,53.1883445879,21.0,41.0974451761,29.0,30.4138126515,29.0,52.1152568832,25.0,33.8526217596,6.0,27.276363394,41.0,47.6025209417,20.0,31.6385840391,58.0,60.2079728939,63.0,52.1152568832,1074.0,242.870335776
Brookline,14,612.0,225.095535272,173.0,116.408762556,23.0,44.3395985548,24.0,46.0543157587,0.0,38.729833462,0.0,38.729833462,8.0,39.6106046407,0.0,38.729833462,24.0,53.3291665038,15.0,44.4522215417,0.0,38.729833462,0.0,38.729833462,13.0,41.9642705168,0.0,38.729833462,13.0,42.4264068711,31.0,53.3291665039,16.0,44.4522215419,6.0,38.729833462,439.0,153.133928311
California-Kirkbride,15,533,139,119,50,4,5,29,30,0,10,16,19,0,10,2,5,0,10,4,7,9,9,0,10,6,8,2,3,1,2,10,11,36,36,0,10,414,110
