Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Allegheny Center,1,98,76,65,66,15,22,0,10,15,21,0,10,0,10,29,42,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,9,33,29
Allegheny West,2,32,36,26,29,0,10,0,10,8,14,0,10,0,10,0,10,0,10,0,10,0,10,0,10,9,12,0,10,9,12,0,10,0,10,0,10,6,8
Allentown,3,206.0,152.960779287,142.0,112.008928216,0.0,17.3205080757,0.0,17.3205080757,42.0,48.0624593628,9.0,21.354156504,14.0,27.0,0.0,17.3205080757,45.0,48.9182992345,0.0,17.3205080757,16.0,27.0,0.0,17.3205080757,0.0,17.3205080757,16.0,27.0,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,64.0,65.2456895128
Arlington,4,28.0,28.8790581564,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,28.0,28.8790581564
Arlington Heights,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Banksville,6,106.0,81.0740402348,12.0,28.7923600978,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,12.0,28.7923600978,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,94.0,77.9807668595
Bedford Dwellings,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Beechview,8,198.0,117.452117903,95.0,65.8407168855,16.0,39.6988664826,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,7.0,32.6955654485,0.0,31.6227766016,23.0,46.8614980555,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,7.0,32.6955654485,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,42.0,42.6380112106,0.0,31.6227766016,103.0,76.7463354174
Beltzhoover,9,98.0,62.8331122896,50.0,42.0951303597,13.0,24.9799919936,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,21.0,36.3868107973,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,9.0,22.2710574513,0.0,20.0,7.0,21.0713075057,0.0,20.0,48.0,49.2442890089
Bloomfield,10,92.0,45.3872228718,11.0,34.205262753,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,1.0,30.5941170816,0.0,31.6227766016,0.0,31.6227766016,1.0,30.4138126515,5.0,29.7489495612,0.0,31.6227766016,4.0,30.5941170816,0.0,31.6227766016,81.0,41.0852771683
