Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Allegheny Center,1,832,135,159,66,14,20,0,10,0,10,0,10,0,10,0,10,0,10,11,15,0,10,2,5,3,4,4,5,0,10,0,10,103,58,22,16,673,114
Allegheny West,2,294,70,25,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,25,22,269,70
Allentown,3,1293.0,299.869971821,247.0,156.831119361,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,46.0,53.4228415568,14.0,27.8567765544,32.0,34.4963766213,15.0,27.8567765544,13.0,23.6854385647,14.0,27.0,39.0,47.7074417675,0.0,17.3205080757,24.0,40.5462698654,0.0,17.3205080757,11.0,17.5499287748,39.0,50.6458290484,0.0,17.3205080757,1046.0,196.211620451
Arlington,4,1421.0,241.16591799,337.0,108.724422279,7.0,17.9164728671,6.0,17.9164728671,5.0,15.779733838,17.0,15.4272486205,18.0,23.1516738056,9.0,15.3622914957,19.0,19.7484176581,10.0,16.0312195419,8.0,17.9164728672,14.0,19.1049731745,36.0,29.9499582638,12.0,16.8819430162,29.0,27.0,17.0,27.8567765544,114.0,61.7332973362,16.0,18.4932420089,1084.0,176.703140889
Arlington Heights,5,64,79,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,64,79
Banksville,6,2977.0,439.408693588,371.0,181.802090197,28.0,37.7491721764,0.0,20.0,23.0,39.0512483796,22.0,39.0512483796,0.0,20.0,53.0,66.302337817,54.0,66.302337817,17.0,32.9241552663,18.0,32.9241552663,0.0,20.0,0.0,20.0,13.0,28.0,15.0,31.2409987036,25.0,33.3766385366,23.0,32.9241552663,80.0,86.7467578645,2606.0,345.412796521
Bedford Dwellings,7,47,56,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,47,56
Beechview,8,6282.0,619.397287692,1243.0,258.73731853,69.0,49.0407993409,28.0,37.9341534768,39.0,38.4577690461,181.0,104.028842155,19.0,38.118237105,49.0,51.8169856321,26.0,41.0000000001,53.0,49.0713765855,56.0,55.3985559378,49.0,47.3075046901,9.0,33.5410196625,41.0,40.8166632639,26.0,36.9594372251,15.0,34.1906419946,425.0,126.487153497,158.0,73.5051018638,5039.0,502.90456351
Beltzhoover,9,98.0,69.2964645563,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,98.0,69.2964645563
Bloomfield,10,7375.0,438.441558249,1689.0,238.964432501,34.0,32.0312347561,14.0,32.6955654485,41.0,42.3556371692,18.0,36.9459064039,18.0,34.5543050863,35.0,37.3496987939,3.0,30.5941170816,23.0,40.8044115262,19.0,31.8276609257,103.0,61.554853586,10.0,29.9666481275,33.0,46.1735855224,5.0,30.8058436015,36.0,41.3037528562,525.0,145.660564327,772.0,163.229899222,5686.0,368.101888069
